id,nombreCompleto,edad,posicion,nacionalidad,idSeleccion
1,Emiliano Martinez,28,Portero,Argentino,3
2,Juan Musso,27,Portero,Argentino,0
3,Agustin Marchesin,33,Portero,Argentino,0
4,Esteban Andrada,30,Portero,Argentino,0
5,Franco Armani,34,Portero,Argentino,0
6,Geronimo Rulli,29,Portero,Argentino,0
7,Agustin Rossi,25,Portero,Argentino,0
8,Cristian Romero,23,Defensa central,Argentino,0
9,Lisandro Martinez,23,Defensa central,Argentino,0
10,Marcos Senesi,24,Defensa central,Argentino,0
11,Lucas Martinez Quarta,25,Defensa central,Argentino,0
12,Facundo Medina,22,Defensa central,Argentino,0
13,Nicolas Otamendi,33,Defensa central,Argentino,0
14,German Pezzella,30,Defensa central,Argentino,0
15,Walter Kannemann,30,Defensa central,Argentino,0
16,Nehuen Perez,21,Defensa central,Argentino,0
17,Nicolas Tagliafico,28,Lateral izquierdo,Argentino,0
18,Marcos Acuna,29,Lateral izquierdo,Argentino,0
19,Gonzalo Montiel,24,Lateral derecho,Argentino,0
20,Juan Foyth ,23,Lateral derecho,Argentino,0
21,Nahuel Molina,23,Lateral derecho,Argentino,0
22,Guido Rodriguez,27,Pivote,Argentino,3
23,Leandro Paredes ,27,Pivote,Argentino,0
24,Rodrigo de Paul,27,Mediocentro,Argentino,0
25,Giovani Lo Celso,25,Mediocentro,Argentino,0
26,Exequiel Palacios,22,Mediocentro,Argentino,0
27,Nicolas Dominguez,23,Mediocentro,Argentino,0
28,Alexis Mac Allister,22,Mediocentro,Argentino,0
29,Manuel Lanzini,28,Mediocentro ofensivo,Argentino,0
30,Lucas Ocampos,26,Extremo izquierdo,Argentino,0
31,Nicolas Gonzalez ,23,Extremo izquierdo,Argentino,0
32,Papu Gomez,33,Extremo izquierdo,Argentino,0
33,angel Correa,26,Extremo derecho,Argentino,0
34,Emiliano Buendia,24,Extremo derecho,Argentino,0
35,angel Di Maria ,33,Extremo derecho,Argentino,0
36,Eduardo Salvio,30,Extremo derecho,Argentino,0
37,Maximiliano Meza,28,Extremo derecho,Argentino,0
38,Lionel Messi,34,Mediapunta,Argentino,3
39,Paulo Dybala ,27,Mediapunta,Argentino,0
40,Joaquin Correa,26,Mediapunta,Argentino,0
41,Lautaro Martinez,23,Delantero centro,Argentino,3
42,Lucas Alario,28,Delantero centro,Argentino,0
43,Sergio Aguero,33,Delantero centro,Argentino,0
44,Julian alvarez,21,Delantero centro,Argentino,0
45,Giovanni Simeone,25,Delantero centro,Argentino,0
46,Lucas Boye,25,Delantero centro,Argentino,0
47,Alisson,30,Portero,Brasilero,0
48,Ederson,29,Portero,Brasilero,0
49,Weverton,34,Portero,Brasilero,0
50,Marquinhos,28,Defensa central,Brasilero,0
51,eder Militao,24,Defensa central,Brasilero,0
52,Bremer ,25,Defensa central,Brasilero,0
53,Roger Ibanez,23,Defensa central,Brasilero,0
54,Thiago Silva,38,Defensa central,Brasilero,0
55,Renan Lodi,24,Lateral izquierdo,Brasilero,0
56,Alex Telles,29,Lateral izquierdo,Brasilero,0
57,Danilo ,31,Lateral derecho,Brasilero,0
58,Fabinho,29,Pivote,Brasilero,0
59,Casemiro,30,Pivote,Brasilero,0
60,Bruno Guimaraes,24,Pivote,Brasilero,0
